ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,MN ,2700185,    ,1,1,Ramsey County,7-Independent Charter District,11-City: Large,Prekindergarten,8th Grade,568,33.8,16.8
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CA ,602361,    ,1,1,Los Angeles County,7-Independent Charter District,21-Suburb: Large,Kindergarten,5th Grade,479,0,†
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MI ,2600330,    ,1,1,Midland County,7-Independent Charter District,41-Rural: Fringe,9th Grade,12th Grade,93,3.86,24.09
ACADEMIC ARTS HIGH SCHOOL,Minnesota,MN ,2700361,    ,1,1,Dakota County,7-Independent Charter District,21-Suburb: Large,9th Grade,12th Grade,90,7.61,11.83
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,NY ,3601001,    ,1,1,Bronx County,7-Independent Charter District,11-City: Large,Kindergarten,8th Grade,603,21,28.71
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,AR ,500059,    ,3,3,Pulaski County,7-Independent Charter District,21-Suburb: Large,Kindergarten,12th Grade,1552,109.19,14.21
ACADEMIE LAFAYETTE,Missouri,MO ,2900017,    ,3,3,Jackson County,7-Independent Charter District,11-City: Large,Kindergarten,9th Grade,1117,76.75,14.55
ACADEMY CHARTER HIGH SCHOOL,New Jersey,NJ ,3400048,    ,1,1,Monmouth County,7-Independent Charter District,21-Suburb: Large,9th Grade,12th Grade,186,17,10.94
ACADEMY CHARTER SCHOOL,New York,NY ,3600997,    ,1,1,Nassau County,7-Independent Charter District,21-Suburb: Large,Prekindergarten,12th Grade,1717,90.49,18.97
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,NY ,3601169,    ,1,1,Nassau County,7-Independent Charter District,21-Suburb: Large,Kindergarten,3rd Grade,250,15.24,16.4
ACADEMY DEL SOL INC. (90199),Arizona,AZ ,400797,    ,2,2,Pima County,7-Independent Charter District,21-Suburb: Large,Kindergarten,8th Grade,765,0,†
